groupId,groupNo,memberCount,ownerToken
1780495115697720,29447904,100,eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJwZXJmX3VzZXJfMCIsInVzZXJJZCI6MzAwMDQsImlhdCI6MTc4MDQ5NTA3NiwiZXhwIjoxNzgwNTAyMjc2fQ.XVtG-VtnmfJ1wUA5BDQmKl5VVJri5gGHvFCjcHX-0CUBCM5g3UM4aL27MOB3HctX
1780495117892200,25797111,100,eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJwZXJmX3VzZXJfMTAwIiwidXNlcklkIjozMDEwNCwiaWF0IjoxNzgwNDk1MDc2LCJleHAiOjE3ODA1MDIyNzZ9.XBs3czHfvgDEA3OqLX-7KuNd-qXRT36XKEDIjnVo6_snm8eGMKwExECkRwaUJcVL
1780495120168279,20242384,100,eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJwZXJmX3VzZXJfMjAwIiwidXNlcklkIjozMDIwNCwiaWF0IjoxNzgwNDk1MDc3LCJleHAiOjE3ODA1MDIyNzd9.jKEI9Vl7pjNuFQZsMOH6usIiEDtKv9r2SlWIJWk5oCyWbiaDqM_1yfK4iCFlQY1u
1780495122399886,40563757,100,eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJwZXJmX3VzZXJfMzAwIiwidXNlcklkIjozMDMwNCwiaWF0IjoxNzgwNDk1MDc3LCJleHAiOjE3ODA1MDIyNzd9.c1LSH2xchLb6oMdQHNLsKV4a_xhPYbY48uU_CPTGZq2ICNGodwvw2rgPzuFV1KpD
1780495124624826,75168169,100,eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJwZXJmX3VzZXJfNDAwIiwidXNlcklkIjozMDQwNCwiaWF0IjoxNzgwNDk1MDc3LCJleHAiOjE3ODA1MDIyNzd9.Wu-E9k10fXfaHMoYJAztMjobGXy4a28wbgFexxmmaJ97pfRTDmgfroiqe-BuRQUY
1780495126897911,39896599,100,eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJwZXJmX3VzZXJfNTAwIiwidXNlcklkIjozMDUwNCwiaWF0IjoxNzgwNDk1MDc3LCJleHAiOjE3ODA1MDIyNzd9.ej-uSOwC6TwFMD7jjuVvbJwf0Mn6PkmaXri2K-5MoIPMJg6dNRKr78x9uIkQubyY
1780495129156031,33456543,100,eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJwZXJmX3VzZXJfNjAwIiwidXNlcklkIjozMDYwNCwiaWF0IjoxNzgwNDk1MDc3LCJleHAiOjE3ODA1MDIyNzd9.VsIaT_4lRCVM8odVyL32yIRWPFrSy-FGWQTm45Emr9Vtg6mt96ffp0sYw2fiGP2m
1780495131432629,89581778,100,eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJwZXJmX3VzZXJfNzAwIiwidXNlcklkIjozMDcwNCwiaWF0IjoxNzgwNDk1MDc3LCJleHAiOjE3ODA1MDIyNzd9.rG72pFFxrw1opQ1PAfWh2RdbNMmsWmQAho7ccJNGPh-ygFD9JV83r13EhBvvIDpT
1780495133685802,49164599,100,eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJwZXJmX3VzZXJfODAwIiwidXNlcklkIjozMDgwNCwiaWF0IjoxNzgwNDk1MDc3LCJleHAiOjE3ODA1MDIyNzd9.sfX7zSVkROQYJoXPctWNWe4ZlqcCieJSBI-veYwPSRYE0kERg8L7DUl-IrL_NyWm
1780495135919783,28906185,100,eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJwZXJmX3VzZXJfOTAwIiwidXNlcklkIjozMDkwNCwiaWF0IjoxNzgwNDk1MDc4LCJleHAiOjE3ODA1MDIyNzh9.RUfAaC5XGqzZxAICQvepZFZc1NHBFWQ81GpJCGVG6n-SyR21VAmcrZo4yeuHoNYt
1780495138276921,24022433,100,eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJwZXJmX3VzZXJfMTAwMCIsInVzZXJJZCI6MzEwMDQsImlhdCI6MTc4MDQ5NTA3OCwiZXhwIjoxNzgwNTAyMjc4fQ.2Wfe9iXfa0cBzg1Lt7Q91Z_H4xIj23thRksNLvsKH82fneA3u4GT1D8ZhJYeR1if
1780495140509003,18547179,100,eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJwZXJmX3VzZXJfMTEwMCIsInVzZXJJZCI6MzExMDQsImlhdCI6MTc4MDQ5NTA3OCwiZXhwIjoxNzgwNTAyMjc4fQ.J-NL32NEtYMAfRWBsRXTnmptOvLiD6co9WI71RepkW9up9w5Jyr0UzAz84T3-xzx
1780495142691200,53061116,100,eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJwZXJmX3VzZXJfMTIwMCIsInVzZXJJZCI6MzEyMDQsImlhdCI6MTc4MDQ5NTA3OCwiZXhwIjoxNzgwNTAyMjc4fQ.7-_nWdOSChMBiikrSQ33czzl7Q9hGLrKNeg0RR-jIvQJ81Y6tfa_d8r1U4TKKACg
